Brand,Storage,Refresh_Rate,Weight,Price,CPU_Brand,CPU_Series,CPU_Type,Warranty_Years,RAM_GB,OS,Brand_enc,CPU_Brand_enc,CPU_Series_enc,CPU_Type_enc,OS_enc
HP,1,144,2.31 kg,59999,intel,i7,hx,1,16,dos,5,1,6,5,2
HP,1,144,2.31 kg,51999,intel,i7,hx,1,16,dos,5,1,6,5,2
Lenovo,512,60,2.4 kg,57777,intel,i7,hx,2,4,Windows 11,8,1,6,5,1
Lenovo,512,60,2.4 kg,60999,intel,i7,hx,2,4,Windows 11,8,1,6,5,1
Lenovo,512,60,1.77 kg,29999,intel,i5,hx,1,16,dos,8,1,5,5,2
Dell,1,60,1.08 kg,93333,intel,ultra 7,u,3,32,Windows 11,4,1,14,7,1
Dell,1,60,2.57 kg,112000,intel,ultra 9,u,3,32,Windows 11,4,1,15,7,1
Dell,1,60,2.57 kg,91999,intel,ultra 9,u,3,32,Windows 11,4,1,15,7,1
Lenovo,1,60,1.9 kg,93333,intel,ultra 9,u,2,16,dos,8,1,15,7,2
Lenovo,1,60,1.9 kg,79999,intel,i7,hx,2,16,dos,8,1,6,5,2
ASUS,1,144,2.50 Kg,114000,amd,ryzen 9,hx,1,32,Windows 11,1,0,11,5,1
ASUS,512,144,1.46 Kg,57399,amd,ryzen 7,hs,1,16,Windows 11,1,0,10,4,1
Dell,512,60,2.49 kg,60699,intel,i7,h,1,16,Windows 11,4,1,6,3,1
Dell,512,60,2.49 kg,67999,intel,i7,h,1,16,Windows 11,4,1,6,3,1
Lenovo,512,60,2.38 kg,39499,intel,i5,hx,1,4,dos,8,1,5,5,2
MSI,512,60,1.86 kg,27549,intel,i5,h,2,8,dos,9,1,5,3,2
MSI,2,60,3.6 kg,229999,intel,ultra 9,u,2,4,Windows 11,9,1,15,7,1
HP,1,144,2.29 kg,44444,intel,i7,h,1,16,dos,5,1,6,3,2
HP,512,144,3.35kg,33699,intel,i5,h,1,8,Windows 11,5,1,5,3,1
ASUS,512,60,1.95 kg,39999,intel,i7,h,1,16,Windows 11,1,1,6,3,1
Lenovo,512,60,2.38 kg,38888,intel,i5,hx,1,4,dos,8,1,5,5,2
Lenovo,512,60,2.38 kg,30999,intel,i5,hx,1,4,Windows 11,8,1,5,5,1
HP,512,144,2.29 kg,43199,intel,i7,h,1,8,dos,5,1,6,3,2
Lenovo,512,60,2.4 kg,52999,intel,i7,hx,2,4,dos,8,1,6,5,2
Lenovo,1,60,2.42 kg,160000,intel,ultra 9,u,1,32,Windows 11,8,1,15,7,1
Lenovo,1,60,2.5 kg,103499,intel,i9,hx,1,32,Windows 11,8,1,7,5,1
MSI,1,60,2.5 kg,76850,intel,ultra 7,u,2,16,Windows 11,9,1,14,7,1
MSI,1,60,2.5 kg,85450,intel,ultra 7,u,2,16,Windows 11,9,1,14,7,1
MSI,1,60,2.7 kg,158409,intel,ultra 7,u,2,16,Windows 11,9,1,14,7,1
ASUS,1,144,2.50 Kg,128888,amd,ryzen 9,hx,1,32,Windows 11,1,0,11,5,1
Lenovo,512,60,1.77 kg,40999,intel,i7,hx,1,16,Windows 11,8,1,6,5,1
ASUS,512,144,2.20 Kg,49999,intel,i7,h,1,16,Windows 11,1,1,6,3,1
ASUS,512,144,2.20 Kg,42199,intel,i5,h,1,16,Windows 11,1,1,5,3,1
ASUS,2,60,1.85 kg,152000,amd,ai 9,hx,1,4,Windows 11,1,0,1,5,1
Lenovo,512,60,1.77 kg,34999,intel,i5,hx,1,16,dos,8,1,5,5,2
ASUS,512,60,1.80 kg,36666,intel,i5,h,1,16,Windows 11,1,1,5,3,1
HP,1,144,2.29 kg,29999,intel,i5,h,1,8,Windows 11,5,1,5,3,1
Lenovo,512,60,2.4 kg,58499,intel,i7,hx,2,4,dos,8,1,6,5,2
Lenovo,512,60,2.4 kg,58888,intel,i7,hx,2,4,Windows 11,8,1,6,5,1
HP,512,144,2.29 kg,46444,intel,i7,h,1,16,dos,5,1,6,3,2
HP,1,144,2.33 kg,48888,intel,i7,h,1,16,dos,5,1,6,3,2
MSI,512,60,2.3 kg,62999,intel,i7,hx,2,16,Windows 11,9,1,6,5,1
HP,512,144,2.29 kg,44444,intel,i7,h,1,16,Windows 11,5,1,6,3,1
HP,1,144,2.31 kg,38999,intel,i5,hx,1,16,dos,5,1,5,5,2
Lenovo,512,60,2.38 kg,31999,amd,ryzen 5,hs,1,4,Windows 11,8,0,9,4,1
Lenovo,512,60,2.38 kg,42999,intel,i7,hx,1,4,dos,8,1,6,5,2
ASUS,1,144,2.65 Kg,134999,intel,ultra 9,u,1,32,Windows 11,1,1,15,7,1
ASUS,1,144,1.57 Kg,129500,amd,ai 9,hx,1,32,Windows 11,1,0,1,5,1
ASUS,2,144,3.30 Kg,204999,intel,ultra 9,u,1,4,Windows 11,1,1,15,7,1
ASUS,1,144,1.57 Kg,129500,amd,ai 9,hx,1,32,Windows 11,1,0,1,5,1
ASUS,2,144,1.95 Kg,189999,intel,ultra 9,u,1,4,Windows 11,1,1,15,7,1
Lenovo,512,60,2.38 kg,35555,intel,i5,hx,2,4,dos,8,1,5,5,2
MSI,1,60,2.7 kg,122222,intel,i9,hx,1,16,Windows 11,9,1,7,5,1
HP,512,144,2.31 kg,52499,intel,i7,hx,1,16,dos,5,1,6,5,2
Dell,1,60,2.81 kg,83999,intel,i9,hx,1,32,Windows 11,4,1,7,5,1
HP,1,144,2.33 kg,47999,intel,i7,h,1,16,dos,5,1,6,3,2
Dell,1,60,2.81 kg,63599,intel,i7,hx,3,16,dos,4,1,6,5,2
HP,512,144,2.29 kg,41199,intel,i5,h,1,16,dos,5,1,5,3,2
HP,512,144,2.29 kg,44444,intel,i7,h,1,16,Windows 11,5,1,6,3,1
Lenovo,1,60,2.4 kg,57777,intel,i7,h,1,16,Windows 11,8,1,6,3,1
Lenovo,512,60,2.55 kg,72999,intel,i9,hx,1,16,dos,8,1,7,5,2
Lenovo,512,60,1.94 kg,66666,intel,ultra 7,u,1,16,Windows 11,8,1,14,7,1
Lenovo,1,60,2.4 kg,45499,amd,ryzen 7,h,1,16,dos,8,0,10,3,2
ASUS,512,144,2.20 Kg,41999,intel,i5,h,1,16,Windows 11,1,1,5,3,1
ASUS,512,144,2.29 kg,58999,intel,i7,h,1,16,Windows 11,1,1,6,3,1
Lenovo,1,60,2.36 kg,82499,intel,i9,hx,1,32,Windows 11,8,1,7,5,1
MSI,512,60,1.86 kg,36899,amd,ryzen 7,hs,2,16,dos,9,0,10,4,2
MSI,512,60,1.86 kg,38339,amd,ryzen 7,hs,2,16,dos,9,0,10,4,2
MSI,512,60,1.86 kg,28449,intel,i5,h,2,8,dos,9,1,5,3,2
MSI,512,60,1.86 kg,42999,intel,i7,h,2,16,dos,9,1,6,3,2
HP,1,60,2.33 kg,51999,intel,i7,h,1,16,dos,5,1,6,3,2
HP,1,60,2.31 Kg,74999,intel,i7,hx,1,32,Windows 11,5,1,6,5,1
ASUS,1,144,1.85 Kg,134999,amd,ai 9,hx,1,32,Windows 11,1,0,1,5,1
ASUS,2,60,1.85 kg,150000,amd,ai 9,hx,1,4,Windows 11,1,0,1,5,1
ASUS,1,144,1.46 Kg,69999,amd,ai 9,hx,1,16,Windows 11,1,0,1,5,1
Lenovo,1,60,2.36 kg,67999,intel,i7,hx,1,16,Windows 11,8,1,6,5,1
Lenovo,512,60,2.38 kg,51999,intel,i7,hx,1,4,dos,8,1,6,5,2
Lenovo,1,60,2.5 kg,89999,intel,i7,hx,1,16,Windows 11,8,1,6,5,1
Lenovo,512,60,1.77 kg,31999,intel,i5,hx,2,16,dos,8,1,5,5,2
Lenovo,1,60,1.94 kg,70499,intel,ultra 9,u,1,32,Windows 11,8,1,15,7,1
Lenovo,1,60,2.36 kg,64999,intel,i7,hx,1,8,Windows 11,8,1,6,5,1
HP,512,60,2.39 kg,86666,intel,i7,hx,1,16,Windows 11,5,1,6,5,1
Lenovo,1,60,2.5 kg,109999,intel,i9,hx,1,32,dos,8,1,7,5,2
HP,1,144,2.29 kg,50999,intel,i7,h,1,16,Windows 11,5,1,6,3,1
HP,512,144,2.29 kg,35499,intel,i5,h,1,16,dos,5,1,5,3,2
Lenovo,1,60,2.5 kg,69999,intel,i7,hx,1,16,dos,8,1,6,5,2
HP,512,144,2.29 kg,46999,intel,i7,h,1,16,dos,5,1,6,3,2
Lenovo,512,60,2.38 kg,60650,amd,ryzen 7,hs,1,16,Windows 11,8,0,10,4,1
Lenovo,512,60,2.38 kg,53499,intel,i7,hx,1,16,Windows 11,8,1,6,5,1
MSI,1,60,2.6 kg,88888,intel,i7,hx,2,16,Windows 11,9,1,6,5,1
MSI,1,60,2.6 kg,68422,intel,i9,h,2,32,dos,9,1,7,3,2
MSI,512,60,1.98 kg,36499,intel,i5,h,1,16,dos,9,1,5,3,2
MSI,512,60,2.3 kg,57877,intel,i7,hx,2,16,Windows 11,9,1,6,5,1
MSI,1,60,2.7 kg,129999,intel,i9,hx,2,32,Windows 11,9,1,7,5,1
MSI,512,60,1.86 kg,33399,intel,i7,h,2,16,dos,9,1,6,3,2
MSI,1,60,2.8 kg,102000,intel,ultra 9,u,2,16,Windows 11,9,1,15,7,1
MSI,2,60,3.6 kg,176499,intel,i9,hx,2,32,Windows 11,9,1,7,5,1
HP,512,144,2.29 kg,43999,intel,i7,h,1,16,dos,5,1,6,3,2
HP,512,144,2.29 kg,29999,amd,ryzen 5,hs,1,16,Windows 11,5,0,9,4,1
Dell,2,60,2.06 kg,52499,intel,i7,h,1,16,Windows 11,4,1,6,3,1
ASUS,512,60,1.80 kg,49999,intel,i7,h,1,4,Windows 11,1,1,6,3,1
ASUS,512,144,2.20 Kg,47299,amd,ryzen 7,hs,1,16,Windows 11,1,0,10,4,1
ASUS,512,144,2.20 Kg,47777,intel,i7,h,1,16,Windows 11,1,1,6,3,1
ASUS,1,144,2.20 Kg,52999,intel,i7,h,1,16,Windows 11,1,1,6,3,1
HP,1,60,4.28 kg,72999,intel,i9,hx,1,16,Windows 11,5,1,7,5,1
ASUS,512,144,2.20 Kg,52999,intel,i7,h,1,16,dos,1,1,6,3,2
MSI,1,60,2.24 kg,68999,intel,i7,h,1,16,Windows 11,9,1,6,3,1
MSI,1,60,2.24 kg,58888,intel,i7,h,1,16,Windows 11,9,1,6,3,1
Lenovo,512,60,2.36 kg,66899,intel,i7,hx,1,16,Windows 11,8,1,6,5,1
MSI,1,60,2.74 Kg,105000,intel,i9,hx,1,32,Windows 11,9,1,7,5,1
Dell,1,60,2.61 kg,125000,intel,ultra 9,u,1,32,Windows 11,4,1,15,7,1
ASUS,1,144,2.20 Kg,64888,intel,i7,h,1,16,Windows 11,1,1,6,3,1
Lenovo,1,60,2.55 kg,91999,intel,i7,hx,1,16,Windows 11,8,1,6,5,1
HP,512,144,2.29 kg,45999,intel,i7,h,1,16,dos,5,1,6,3,2
HP,512,144,2.29 kg,35000,intel,i5,h,1,8,dos,5,1,5,3,2
Lenovo,512,144,2.25 kg,31399,amd,ryzen 5,h,1,8,dos,8,0,9,3,2
Lenovo,512,60,2.38 kg,52499,intel,i7,hx,1,16,dos,8,1,6,5,2
Lenovo,512,60,2.38 kg,38888,intel,i5,hx,1,16,dos,8,1,5,5,2
Lenovo,1,60,2.24 kg,105000,intel,i9,hx,1,16,Windows 11,8,1,7,5,1
Dell,1,60,2.61 kg,99999,intel,ultra 7,u,1,16,Windows 11,4,1,14,7,1
Lenovo,1,60,2.36 kg,95999,intel,i9,hx,1,16,Windows 11,8,1,7,5,1
MSI,512,60,1.86 kg,39999,intel,i5,h,2,8,Windows 11,9,1,5,3,1
Lenovo,1,60,2.36 kg,69888,intel,i7,hx,1,16,Windows 11,8,1,6,5,1
Lenovo,1,60,2.4 kg,63333,amd,ryzen 7,hs,1,16,Windows 11,8,0,10,4,1
Dell,512,60,2.81 kg,52999,intel,i7,hx,1,16,dos,4,1,6,5,2
Lenovo,1,60,2.62 kg,235000,intel,i9,hx,1,32,dos,8,1,7,5,2
HP,1,144,2.33 kg,67999,intel,i7,hx,1,16,dos,5,1,6,5,2
HP,1,144,2.33 kg,53999,intel,i7,h,1,16,dos,5,1,6,3,2
ASUS,1,144,2.50 Kg,62999,intel,i7,hx,1,16,Windows 11,1,1,6,5,1
ASUS,512,144,2.30 Kg,32666,amd,ryzen 7,hs,1,8,Windows 11,1,0,10,4,1
ASUS,512,144,2.30 Kg,32499,amd,ryzen 7,hs,1,8,Windows 11,1,0,10,4,1
Lenovo,1,60,2.36 kg,78888,intel,i7,hx,1,16,dos,8,1,6,5,2
HP,512,144,2.29 kg,30999,intel,i5,h,1,8,Windows 11,5,1,5,3,1
Lenovo,1,60,2.38 kg,48888,intel,i7,hx,1,16,Windows 11,8,1,6,5,1
Lenovo,512,60,2.38 kg,36999,intel,i5,hx,1,4,dos,8,1,5,5,2
Lenovo,1,60,2.55 kg,72999,intel,i7,hx,1,16,Windows 11,8,1,6,5,1
Lenovo,1,60,2.38 kg,45499,intel,i7,hx,1,16,Windows 11,8,1,6,5,1
HP,512,144,2.29 kg,34477,intel,i5,h,1,8,dos,5,1,5,3,2
HP,512,144,2.29 kg,36249,intel,i5,h,1,8,Windows 11,5,1,5,3,1
Lenovo,512,60,2.38 kg,34333,intel,i5,hx,2,8,dos,8,1,5,5,2
MSI,512,60,2.25 kg,71930,intel,i7,h,2,16,Windows 11,9,1,6,3,1
MSI,512,60,1.86 kg,38999,intel,i7,h,2,16,dos,9,1,6,3,2
MSI,512,60,1.86 kg,28899,intel,i5,h,2,8,dos,9,1,5,3,2
MSI,512,60,1.98 kg,49999,intel,i7,h,2,16,dos,9,1,6,3,2
Lenovo,512,60,2.38 kg,31999,intel,i5,hx,2,16,dos,8,1,5,5,2
Lenovo,512,144,2.25 kg,26999,amd,ryzen 5,h,1,8,Windows 11,8,0,9,3,1
HP,512,144,2.29 kg,52599,intel,i7,h,1,16,Windows 11,5,1,6,3,1
HP,512,144,2.29 kg,54499,intel,i7,h,1,16,dos,5,1,6,3,2
Lenovo,512,60,2.38 kg,38888,intel,i5,hx,1,16,dos,8,1,5,5,2
Lenovo,512,60,2.38 kg,30999,intel,i5,hx,1,4,dos,8,1,5,5,2
ASUS,512,144,2.30 Kg,29199,amd,ryzen 5,hs,1,8,Windows 11,1,0,9,4,1
ASUS,512,144,2.30 Kg,36000,amd,ryzen 5,hs,1,8,Windows 11,1,0,9,4,1
ASUS,512,144,2.20 Kg,39888,amd,ryzen 5,hs,1,8,Windows 11,1,0,9,4,1
Lenovo,512,60,2.38 kg,31499,intel,i5,hx,2,8,dos,8,1,5,5,2
HP,1,60,2.18 kg,119999,intel,i7,hx,1,32,Windows 11,5,1,6,5,1
HP,512,60,2.78 Kg,89999,intel,i7,hx,1,16,Windows 11,5,1,6,5,1
Lenovo,512,60,2.38 kg,42999,intel,i7,hx,1,16,dos,8,1,6,5,2
Lenovo,1,60,2.4 kg,55999,amd,ryzen 5,h,1,16,dos,8,0,9,3,2
Lenovo,512,60,2.4 kg,39499,amd,ryzen 5,h,1,8,Windows 11,8,0,9,3,1
Lenovo,512,60,2.4 kg,48000,amd,ryzen 7,hs,1,16,Windows 11,8,0,10,4,1
Dell,1,60,2.81 kg,63999,intel,i7,hx,1,16,Windows 11,4,1,6,5,1
Lenovo,512,144,2.25 kg,45999,amd,ryzen 7,h,1,8,dos,8,0,10,3,2
HP,512,144,2.29 kg,38799,intel,i5,h,1,8,Windows 11,5,1,5,3,1
HP,1,144,2.29KG,30499,intel,i5,h,1,8,Windows 11,5,1,5,3,1
Lenovo,512,60,2.4 kg,37149,intel,i5,h,1,16,dos,8,1,5,3,2
Lenovo,1,60,2.4 kg,39800,intel,i5,h,1,16,Windows 11,8,1,5,3,1
ASUS,1,144,2.50 Kg,94499,intel,i9,hx,2,16,Windows 11,1,1,7,5,1
ASUS,2,144,3.10 Kg,178199,intel,i9,hx,2,32,Windows 11,1,1,7,5,1
ASUS,1,144,3.10 Kg,139000,intel,i9,hx,2,32,Windows 11,1,1,7,5,1
MSI,512,60,2.6 kg,77930,intel,i9,h,2,16,Windows 11,9,1,7,3,1
MSI,1,60,3 kg,131845,intel,i9,hx,2,32,Windows 11,9,1,7,5,1
MSI,2,60,3.1 kg,180449,intel,i9,hx,2,32,Windows 11,9,1,7,5,1
MSI,2,60,3.6 kg,229999,intel,i9,hx,2,4,Windows 11,9,1,7,5,1
MSI,512,60,1.98 kg,60999,intel,ultra 7,u,2,16,Windows 11,9,1,14,7,1
ASUS,512,60,2.20 Kg,39666,amd,ryzen 5,hs,1,8,Windows 11,1,0,9,4,1
ASUS,2,60,1.95 Kg,169888,intel,ultra 9,u,2,32,Windows 11,1,1,15,7,1
ASUS,512,60,1.65 kg,48999,amd,ryzen 7,h,2,16,Windows 11,1,0,10,3,1
MSI,512,60,1.86 kg,28888,intel,i5,h,1,8,dos,9,1,5,3,2
HP,512,144,2.29 kg,31999,amd,ryzen 7,h,1,16,Windows 11,5,0,10,3,1
HP,1,144,2.29 kg,49199,amd,ryzen 7,h,1,16,Windows 11,5,0,10,3,1
HP,1,144,2.29 kg,45999,intel,i5,h,1,8,Windows 11,5,1,5,3,1
HP,512,144,2.29 kg,31666,intel,i5,h,1,8,dos,5,1,5,3,2
HP,1,144,2.29 kg,36999,intel,i5,h,1,8,Windows 11,5,1,5,3,1
HP,1,144,2.31 kg,70499,intel,i7,hx,1,32,Windows 11,5,1,6,5,1
HP,1,144,2.33 kg,59499,intel,i7,h,1,16,Windows 11,5,1,6,3,1
HP,1,144,2.33 kg,74999,intel,i7,h,1,16,dos,5,1,6,3,2
HP,512,144,2.29 kg,27999,amd,ryzen 5,h,1,8,dos,5,0,9,3,2
Lenovo,512,60,2.4 kg,66000,intel,i7,h,1,16,dos,8,1,6,3,2
Dell,1,60,2.672 Kg,54499,intel,i7,h,1,16,Windows 11,4,1,6,3,1
Lenovo,1,60,2 kg,79199,intel,i7,h,1,16,dos,8,1,6,3,2
Lenovo,512,144,2.315 kg,61200,intel,i7,h,1,16,dos,8,1,6,3,2
Lenovo,1,60,2.38 kg,73700,intel,i7,hx,1,16,dos,8,1,6,5,2
