Age,Gender,Family_Income,Study_Hours_per_Day,Attendance_Rate,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,CGPA,Semester,Department,Parental_Education,Dropout,Parental_Education_label,Department_label
21,1,25000.0,4.42,85.6,31.5,1,0,3.8,3.66,2,CS,Master,0,2,2
18,1,25000.0,5.22,89.4,29.4,1,0,4.7,1.67,3,Science,Bachelor,0,1,4
21,1,66367.0,3.07,82.3,11.3,1,0,5.3,0.82,3,CS,High School,0,0,2
19,0,25000.0,4.19,79.7,36.5,0,0,9.3,0.76,3,Business,High School,0,0,3
20,1,29219.0,4.125,72.7,28.5,1,0,5.5,3.03,1,CS,High School,0,0,2
19,1,25000.0,6.08,81.1,5.0,0,0,5.9,3.82,4,CS,Bachelor,0,1,2
25,0,29590.0,4.29,77.9,10.9,1,1,5.5,2.48,3,Science,Bachelor,1,1,4
21,0,34785.0,6.6,81.9,24.3,1,0,3.6,3.53,4,Arts,PhD,0,3,0
18,0,28377.0,4.26,67.9,45.3,0,1,5.5,1.65,3,Arts,Bachelor,0,1,0
22,1,25000.0,2.19,95.9,37.3,0,1,5.2,0.02,3,Science,Bachelor,0,1,4
18,1,29590.0,3.88,61.0,21.8,1,1,5.5,0.97,3,Arts,Bachelor,1,1,0
21,0,26034.0,2.9,80.9,27.7,1,1,7.6,1.45,4,Business,Bachelor,0,1,3
17,1,25000.0,6.16,78.5,43.3,1,0,4.7,3.42,2,Science,High School,0,0,4
18,0,77705.0,2.25,70.8,22.6,1,0,5.0,2.01,2,Business,Bachelor,0,1,3
21,1,29803.0,3.98,85.0,17.0,0,0,5.5,3.55,2,Business,Master,0,2,3
22,0,25000.0,5.91,74.5,40.6,1,0,5.6,2.35,2,Engineering,Bachelor,0,1,1
21,0,41216.0,7.6,85.0,43.4,0,1,4.4,1.69,1,Business,High School,0,0,3
20,0,49772.0,3.86,95.6,22.7,1,1,6.7,2.71,1,Business,Bachelor,0,1,3
20,0,41183.0,4.15,72.1,35.9,0,1,8.4,2.82,3,Business,High School,1,0,3
17,1,25000.0,2.48,89.0,29.5,1,1,7.4,0.5,4,Engineering,Master,0,2,1
19,1,25682.0,3.51,69.7,22.9,1,0,7.9,1.43,1,Business,Master,0,2,3
20,0,25000.0,6.84,75.6,44.0,0,0,5.2,3.66,4,Business,Bachelor,0,1,3
23,0,25000.0,5.13,86.5,22.0,0,0,3.6,4.0,4,CS,Bachelor,0,1,2
21,0,25000.0,5.58,79.8,39.1,0,0,1.9,3.77,2,Business,Bachelor,0,1,3
17,1,27754.0,4.84,93.6,30.8,1,0,1.8,3.38,1,Engineering,High School,0,0,1
21,1,25000.0,5.39,83.0,27.9,0,0,5.1,3.94,4,CS,Bachelor,0,1,2
20,0,26368.0,6.52,86.2,23.3,1,0,6.4,2.65,3,Business,Bachelor,0,1,3
19,1,25000.0,3.41,76.5,18.2,0,0,7.0,2.05,3,Business,High School,0,0,3
22,0,33661.0,4.96,73.7,27.0,1,0,5.9,2.47,4,Business,Master,1,2,3
23,1,25000.0,3.1,72.8,23.9,1,1,4.2,0.0,1,Business,Bachelor,1,1,3
23,1,35396.0,1.35,74.5,31.1,0,1,6.7,0.93,1,Science,High School,1,0,4
19,1,56894.0,4.34,76.4,15.6,1,0,3.3,2.68,4,Science,Bachelor,0,1,4
20,1,77162.0,4.16,91.3,28.2,1,1,3.5,2.57,4,Engineering,Bachelor,0,1,1
21,1,25000.0,3.9,85.2,34.9,1,0,6.6,0.42,2,Business,Master,1,2,3
23,1,25000.0,3.17,71.8,21.9,1,0,3.3,0.35,1,Science,High School,0,0,4
19,1,25000.0,4.18,78.7,38.9,0,0,4.1,4.0,3,Arts,High School,0,0,0
20,0,39191.0,4.55,81.8,40.2,0,1,3.7,2.32,2,Science,PhD,0,3,4
18,0,25000.0,6.55,100.0,15.5,0,1,5.8,3.13,1,Engineering,Bachelor,0,1,1
18,0,25000.0,4.7,82.1,20.9,1,0,6.6,1.71,3,Engineering,PhD,0,3,1
22,1,32151.0,4.76,85.6,13.9,1,0,6.6,1.63,2,Arts,High School,0,0,0
24,0,31286.0,3.03,74.1,35.1,1,1,4.5,3.04,4,CS,Bachelor,0,1,2
20,0,37293.0,2.76,87.8,31.5,1,0,5.2,3.68,4,Science,Bachelor,0,1,4
23,0,38801.0,2.72,93.0,10.8,0,0,6.8,4.0,3,Arts,High School,0,0,0
21,0,36430.0,3.61,80.8,22.2,1,0,4.5,1.48,1,Engineering,Master,0,2,1
19,1,33396.0,4.08,86.9,33.7,1,0,3.9,2.97,1,Engineering,PhD,0,3,1
21,1,30744.0,4.28,86.6,31.4,1,1,4.3,2.28,4,Business,Bachelor,0,1,3
24,1,44305.0,2.94,82.6,44.5,1,0,4.4,3.55,3,CS,Bachelor,0,1,2
20,1,25000.0,1.09,92.3,16.2,0,0,5.6,2.33,1,Arts,Bachelor,0,1,0
24,1,75102.0,3.45,75.6,29.9,0,0,5.5,4.0,1,Engineering,Bachelor,0,1,1
17,0,25000.0,5.22,75.0,18.0,1,0,5.2,3.97,4,CS,Master,0,2,2
22,0,25000.0,3.51,82.0,31.3,0,0,4.1,2.52,2,Science,Bachelor,0,1,4
21,1,29684.0,4.0,79.0,27.8,1,0,5.5,3.59,3,Science,Bachelor,0,1,4
20,0,44514.0,1.93,58.7,33.3,0,0,6.7,1.8,1,Science,Bachelor,1,1,4
21,0,25000.0,4.16,76.1,25.1,1,0,6.1,1.27,4,Engineering,High School,0,0,1
17,1,29235.0,4.53,65.0,39.1,1,1,4.7,1.17,1,CS,High School,0,0,2
20,0,28160.0,4.19,79.4,21.4,1,0,5.5,1.85,1,CS,Master,0,2,2
21,0,53998.0,5.25,87.7,17.8,1,0,7.7,0.76,1,CS,Master,0,2,2
24,0,25000.0,5.56,82.4,32.7,1,1,5.4,0.89,3,Engineering,Bachelor,0,1,1
19,0,25000.0,6.75,83.1,52.2,1,0,5.5,1.86,4,Science,Master,0,2,4
19,0,25000.0,2.8,80.8,11.7,1,0,8.2,3.11,4,Arts,Bachelor,0,1,0
19,0,25000.0,4.37,83.7,16.3,1,0,7.4,2.94,2,Engineering,Master,0,2,1
23,1,25000.0,2.46,100.0,32.8,1,1,4.3,3.2,3,Arts,Master,0,2,0
21,1,25000.0,4.79,79.2,43.5,0,0,7.4,1.42,4,CS,Master,1,2,2
19,0,29219.0,4.05,81.9,33.7,1,0,5.5,2.7,3,Arts,High School,1,0,0
22,1,32176.0,1.49,75.1,22.7,1,0,3.6,2.94,1,Science,Bachelor,0,1,4
21,0,39933.0,4.35,66.8,35.0,1,0,7.8,2.64,3,Arts,High School,0,0,0
23,0,33807.0,3.74,84.1,36.2,0,0,4.2,0.67,4,Business,High School,1,0,3
19,0,29219.0,4.19,91.1,21.8,1,0,5.5,3.8,1,CS,High School,0,0,2
20,1,50359.0,3.62,100.0,39.9,1,0,4.8,3.63,3,Business,High School,0,0,3
20,0,25000.0,6.68,80.5,29.6,1,1,9.2,0.01,1,Arts,High School,0,0,0
17,1,25000.0,4.75,79.9,9.0,1,0,3.8,0.43,4,CS,Master,1,2,2
21,1,30604.5,3.94,74.5,28.4,0,0,5.5,1.5,4,CS,Bachelor,0,1,2
21,1,29331.0,3.57,95.7,23.2,1,0,4.9,2.62,2,Business,PhD,0,3,3
21,1,25000.0,1.48,72.1,45.7,1,1,6.4,2.13,1,Engineering,PhD,0,3,1
20,1,51391.0,2.6,87.3,14.1,0,1,5.4,1.4,2,CS,High School,0,0,2
17,0,97535.0,6.19,96.6,24.2,1,1,4.3,4.0,3,Business,Master,1,2,3
20,0,30885.0,4.09,80.0,33.1,0,1,5.5,2.3,3,Science,High School,0,0,4
20,1,31276.0,4.59,72.7,59.0,0,0,7.9,2.3,1,Engineering,Bachelor,0,1,1
19,1,49497.0,4.51,88.3,53.5,1,1,2.6,3.24,4,Business,Bachelor,0,1,3
20,0,25000.0,5.84,71.2,29.5,1,0,4.3,1.92,4,Science,Bachelor,0,1,4
21,0,30245.0,4.42,91.5,34.2,0,0,6.4,1.01,1,Arts,Bachelor,0,1,0
25,0,31048.5,3.6399999999999997,97.9,37.2,0,1,5.5,3.36,1,Engineering,Master,1,2,1
21,0,29803.5,3.95,63.0,17.9,0,0,5.5,1.66,2,Engineering,High School,1,0,1
21,0,29684.0,4.09,95.3,30.1,1,0,5.5,1.55,2,Science,Bachelor,0,1,4
20,1,26596.0,3.64,87.1,46.3,1,0,6.6,1.43,2,Business,Bachelor,0,1,3
17,1,28669.0,6.21,93.1,31.7,1,1,6.4,4.0,1,Business,Bachelor,0,1,3
20,0,25000.0,2.63,76.8,53.4,0,0,6.8,1.19,1,Business,Bachelor,1,1,3
21,1,104579.0,3.34,87.0,24.7,0,0,6.1,2.68,3,Science,Master,0,2,4
26,1,25000.0,1.63,83.9,28.9,1,0,4.9,2.13,2,Arts,High School,1,0,0
20,0,25000.0,5.31,75.7,29.0,0,0,7.2,1.49,4,Business,High School,0,0,3
21,0,28108.0,4.45,79.2,14.4,1,1,4.6,2.83,1,Business,Bachelor,0,1,3
20,1,51263.0,6.26,86.6,43.3,1,1,5.2,2.48,4,CS,High School,0,0,2
18,1,30045.0,3.17,73.0,26.0,0,0,2.5,2.69,4,Science,Master,0,2,4
23,0,39789.0,2.97,72.4,33.1,0,1,4.6,2.96,3,Science,Bachelor,0,1,4
22,1,31048.5,4.1,56.8,22.8,0,1,5.5,0.0,1,Engineering,Master,0,2,1
22,0,72592.0,4.59,75.8,50.7,1,1,5.5,1.83,2,Arts,Bachelor,1,1,0
19,0,41649.0,3.54,84.3,44.8,1,0,7.2,2.67,2,Engineering,Bachelor,1,1,1
24,0,55749.0,4.39,77.9,30.7,1,0,4.7,0.0,4,Arts,Bachelor,0,1,0
17,0,37016.0,3.45,92.2,15.3,0,0,4.8,1.18,1,CS,Bachelor,0,1,2
22,1,48773.0,5.87,70.4,38.9,1,0,4.5,1.87,4,Arts,High School,1,0,0
25,1,25000.0,5.64,86.1,43.0,0,0,5.9,3.41,4,Science,Master,0,2,4
18,0,25000.0,4.11,79.1,18.9,0,0,8.3,1.92,2,CS,Master,0,2,2
19,1,66695.0,5.37,81.2,28.3,1,0,1.3,4.0,1,Science,Bachelor,0,1,4
21,1,75799.0,3.83,87.5,30.9,1,1,4.6,1.8,2,Arts,High School,0,0,0
19,0,25000.0,3.94,60.9,43.0,1,0,4.9,1.92,3,Arts,High School,1,0,0
17,1,34539.0,1.19,64.9,28.2,1,0,1.7,1.93,3,Business,Bachelor,0,1,3
21,0,25000.0,4.66,81.5,41.5,1,0,5.3,1.5,4,CS,Bachelor,0,1,2
18,1,25000.0,4.03,80.2,20.7,1,1,4.9,2.28,1,Arts,High School,0,0,0
22,0,35274.0,5.14,70.6,17.3,1,0,4.7,2.56,1,Engineering,High School,0,0,1
19,1,58958.0,4.93,98.0,52.0,1,0,3.5,2.72,4,Science,Master,0,2,4
24,0,38988.0,3.03,72.7,14.3,0,1,5.3,1.79,3,Engineering,Master,0,2,1
19,1,25000.0,3.75,77.7,21.0,0,0,3.4,2.29,3,CS,PhD,0,3,2
20,1,40494.0,3.38,91.2,39.4,1,1,4.0,1.88,2,CS,Bachelor,0,1,2
22,0,25000.0,5.36,76.6,23.6,1,0,5.1,3.95,3,Arts,Bachelor,0,1,0
18,0,38073.0,6.05,75.1,23.3,1,0,7.3,1.01,3,Business,High School,0,0,3
21,0,68726.0,5.04,85.1,27.6,0,0,6.2,0.83,3,CS,Bachelor,1,1,2
23,1,25000.0,6.58,76.1,5.0,1,0,6.6,3.93,1,CS,Bachelor,0,1,2
17,0,47971.0,4.68,85.2,43.4,1,0,9.0,2.96,2,Science,Bachelor,0,1,4
21,1,25000.0,2.73,86.1,32.1,1,1,6.3,2.63,3,Business,High School,0,0,3
21,0,62131.0,2.2,85.0,20.3,0,0,3.6,0.97,4,Arts,High School,0,0,0
22,0,25000.0,2.8,91.4,9.4,1,1,4.5,2.73,2,Engineering,Master,0,2,1
18,0,25000.0,3.41,78.9,13.6,1,1,4.0,1.91,2,Business,High School,0,0,3
18,0,45124.0,3.12,78.0,10.9,1,1,5.3,2.27,2,Engineering,Master,0,2,1
22,1,36994.0,4.07,81.3,32.7,1,0,4.8,3.09,2,Science,High School,0,0,4
21,1,25000.0,3.77,59.4,32.8,1,0,3.8,3.26,1,CS,Bachelor,0,1,2
21,0,25000.0,4.1,83.7,37.3,0,1,7.2,2.53,4,CS,High School,0,0,2
21,1,26569.0,7.17,79.4,38.8,0,1,7.3,1.25,1,Business,Bachelor,0,1,3
19,0,25000.0,5.14,85.1,37.5,0,1,5.8,3.86,4,Engineering,Master,0,2,1
21,1,25000.0,4.35,74.8,48.5,1,0,3.7,3.42,2,Arts,Bachelor,0,1,0
21,0,31868.0,5.38,92.8,44.3,1,1,5.7,4.0,1,Business,Bachelor,0,1,3
19,1,25000.0,2.95,80.3,41.5,0,0,4.4,3.87,1,Business,Master,0,2,3
25,1,38404.0,2.9,88.7,32.8,1,0,7.8,0.88,1,Business,PhD,1,3,3
22,0,72699.0,5.19,77.9,38.6,1,0,3.3,3.55,1,Science,Master,0,2,4
18,1,27197.0,4.0,85.7,25.1,1,0,6.7,2.42,3,Engineering,Bachelor,0,1,1
22,0,32148.0,4.16,69.6,27.3,0,1,6.6,1.54,1,Business,High School,0,0,3
18,0,99793.0,2.51,64.4,50.7,1,1,7.1,2.29,1,Science,High School,0,0,4
22,0,25000.0,3.38,80.3,23.3,1,0,5.9,2.77,3,Business,Master,0,2,3
23,0,60763.0,3.47,81.8,22.4,0,0,4.9,1.16,2,CS,Bachelor,0,1,2
19,0,56529.0,3.37,81.2,25.7,1,0,9.8,1.06,2,Business,Bachelor,1,1,3
23,0,49642.0,6.79,79.7,23.4,0,0,3.9,2.18,3,Science,Master,0,2,4
21,0,64541.0,6.76,78.8,24.4,1,0,6.8,2.62,3,CS,Bachelor,0,1,2
22,0,35184.0,5.48,87.4,32.9,0,1,5.5,3.08,1,Arts,High School,0,0,0
25,1,25000.0,4.13,96.3,33.3,1,0,6.1,2.24,3,Engineering,Bachelor,1,1,1
20,1,57339.0,3.24,100.0,40.9,1,1,6.1,4.0,2,Arts,Bachelor,0,1,0
19,0,58671.0,2.65,90.8,56.3,0,0,3.6,3.81,3,Arts,Bachelor,0,1,0
19,0,57710.0,4.44,63.7,25.6,0,1,3.1,0.97,3,Science,Bachelor,0,1,4
19,0,30537.0,5.66,90.4,29.2,0,1,3.2,3.73,4,Engineering,Bachelor,0,1,1
20,1,25000.0,5.01,90.3,7.9,1,0,4.7,3.7,2,CS,Bachelor,0,1,2
21,1,33350.0,4.13,81.2,14.5,0,1,5.9,0.8,1,Engineering,High School,0,0,1
21,0,52331.0,4.87,89.4,28.2,1,1,4.3,3.54,3,Engineering,High School,0,0,1
22,0,54974.0,3.98,84.9,35.6,1,0,2.9,2.68,1,Science,Master,0,2,4
21,0,25000.0,3.64,81.9,35.9,1,0,7.2,2.23,2,Business,Bachelor,0,1,3
24,0,35926.0,2.68,84.0,37.4,1,0,2.7,1.71,2,Business,High School,0,0,3
20,1,25000.0,3.57,77.6,45.1,1,0,6.4,1.99,4,Business,Bachelor,0,1,3
27,1,53689.0,4.39,67.3,50.5,0,0,4.1,3.54,3,Business,Bachelor,0,1,3
22,0,25000.0,3.46,67.0,27.1,1,1,7.7,0.29,1,Engineering,Bachelor,1,1,1
19,1,47627.0,2.51,89.3,20.4,1,0,4.6,2.11,3,Science,High School,0,0,4
18,0,25000.0,4.15,73.8,37.9,1,0,2.3,2.26,1,Arts,Bachelor,0,1,0
22,0,55207.0,4.39,69.8,41.2,1,0,5.4,2.8,2,Business,High School,0,0,3
20,1,36066.0,3.52,69.6,31.6,0,1,4.0,1.77,2,Science,Bachelor,0,1,4
22,1,25000.0,3.97,78.2,27.9,1,1,7.0,2.32,2,Engineering,Master,0,2,1
22,0,45018.0,0.71,94.1,24.0,1,1,6.1,1.41,3,Arts,Master,0,2,0
20,0,25000.0,4.96,80.8,29.5,0,0,4.4,3.43,2,CS,High School,0,0,2
19,1,46618.0,4.37,70.6,38.3,1,1,3.7,4.0,2,Arts,Bachelor,0,1,0
17,1,25224.0,5.84,93.9,22.0,0,0,3.5,3.73,4,Engineering,Bachelor,0,1,1
20,0,25000.0,3.72,84.6,20.4,1,0,4.4,2.51,1,Business,High School,0,0,3
22,0,25000.0,4.95,79.2,37.2,1,0,8.0,2.01,4,Business,High School,0,0,3
21,0,25000.0,5.53,85.9,19.8,1,0,5.2,2.67,1,CS,PhD,0,3,2
18,1,67570.0,4.03,82.1,31.8,0,1,7.2,2.29,4,CS,Master,0,2,2
21,1,51056.0,4.45,76.3,31.2,0,0,2.8,2.97,3,Science,High School,0,0,4
21,0,78772.0,4.19,77.6,30.0,1,0,2.0,2.95,1,Arts,High School,0,0,0
19,1,80192.0,1.92,72.1,22.3,0,1,3.8,3.22,4,Arts,Bachelor,0,1,0
21,1,25000.0,4.5,78.2,50.8,0,1,6.7,0.19,4,Business,High School,1,0,3
21,0,26553.0,2.78,89.4,34.8,1,0,5.0,3.24,3,Arts,High School,0,0,0
18,0,25000.0,2.88,89.2,23.8,0,0,7.1,1.4,1,Arts,High School,0,0,0
21,1,25000.0,4.68,80.6,34.0,1,0,7.8,2.15,2,Engineering,Master,0,2,1
22,1,25000.0,5.68,80.7,52.0,0,0,3.8,2.07,1,Science,Master,1,2,4
23,1,29471.0,5.02,73.7,31.1,1,0,7.0,2.07,1,Science,Bachelor,0,1,4
23,1,25000.0,4.76,85.2,48.4,0,1,8.0,2.97,3,Arts,Bachelor,0,1,0
18,0,29129.0,4.44,70.9,16.2,1,0,7.4,2.25,1,CS,High School,0,0,2
18,0,105817.0,5.13,88.7,19.8,1,0,2.6,2.11,4,CS,High School,0,0,2
22,1,25000.0,6.19,85.3,5.0,1,1,2.2,3.82,2,Arts,High School,0,0,0
22,0,33418.0,3.25,79.9,53.7,1,0,4.7,2.01,4,Business,Master,0,2,3
22,1,51225.0,3.29,85.5,9.6,0,0,4.8,1.56,1,Arts,High School,0,0,0
29,1,35178.0,4.95,79.3,32.1,0,0,7.0,2.65,3,Business,Bachelor,0,1,3
22,1,35436.0,1.78,83.5,50.9,1,0,3.8,2.73,2,Engineering,Master,0,2,1
23,0,25000.0,3.87,83.7,41.7,1,0,6.2,1.29,2,Engineering,Master,0,2,1
23,1,25871.0,4.34,91.3,34.5,1,1,3.6,3.81,4,Arts,Bachelor,0,1,0
22,1,25000.0,3.29,85.9,45.4,1,0,6.1,1.5,2,Arts,Bachelor,1,1,0
20,1,49396.0,1.51,90.4,22.0,0,1,4.7,2.44,1,Arts,High School,1,0,0
22,0,25000.0,5.8,85.1,36.2,1,1,6.1,4.0,4,Science,Master,0,2,4
19,0,53245.0,3.22,81.5,28.6,0,1,4.8,2.23,3,Arts,Bachelor,0,1,0
20,0,25000.0,3.28,86.1,28.4,0,0,1.5,3.33,1,Engineering,PhD,0,3,1
19,0,52974.0,5.73,84.8,32.3,0,0,6.4,1.72,1,Engineering,Bachelor,0,1,1
21,0,25000.0,0.5,79.1,44.1,1,0,7.6,1.27,1,Business,High School,0,0,3
26,1,25000.0,5.96,70.7,48.8,0,0,4.0,1.77,1,Arts,Bachelor,0,1,0
17,1,42091.0,6.89,77.8,26.8,0,0,7.0,3.46,3,Engineering,High School,0,0,1
22,1,51910.0,2.84,77.8,16.9,0,0,4.4,2.43,4,CS,Bachelor,0,1,2
17,1,25000.0,3.36,86.4,20.2,0,1,3.1,2.8,1,CS,High School,0,0,2
20,0,45815.0,4.63,81.5,53.4,1,1,4.4,4.0,1,Arts,Bachelor,0,1,0
23,1,25000.0,4.33,75.5,47.8,1,1,5.2,2.55,3,CS,Master,1,2,2
21,0,25000.0,5.28,80.7,16.9,1,1,3.1,3.7,4,Business,Bachelor,0,1,3
18,0,64566.0,4.65,79.4,49.9,1,1,7.9,3.86,4,Science,Bachelor,0,1,4
19,0,25999.0,5.08,74.6,21.5,1,0,2.7,3.86,2,Business,High School,0,0,3
22,1,25000.0,8.47,93.7,38.0,0,1,4.5,3.94,4,CS,Master,0,2,2
19,1,25000.0,1.93,80.5,21.5,0,0,3.8,2.81,1,Arts,High School,0,0,0
21,0,25000.0,5.75,75.7,56.0,1,0,7.9,2.68,2,Business,High School,0,0,3
21,1,26915.0,5.92,68.7,23.2,1,0,2.8,3.07,4,Engineering,Master,0,2,1
19,0,25000.0,2.57,82.7,17.4,1,0,7.0,0.78,2,Engineering,Master,0,2,1
25,0,33102.0,2.96,86.1,24.5,0,0,5.9,1.98,3,Engineering,Bachelor,0,1,1
22,1,28519.0,4.65,76.8,61.5,1,0,3.3,4.0,1,CS,Master,0,2,2
17,1,67228.0,2.38,83.1,33.1,0,0,4.9,2.09,3,Business,Master,1,2,3
21,1,38358.0,3.2,73.3,17.7,0,0,5.2,1.83,2,Business,Bachelor,1,1,3
19,1,39128.0,4.31,80.2,20.5,1,0,6.6,2.65,3,Business,Bachelor,0,1,3
22,1,59820.0,3.11,90.7,9.0,0,0,4.3,3.71,2,CS,Bachelor,0,1,2
19,1,25000.0,3.7,80.1,36.5,0,0,6.6,0.91,3,Science,PhD,1,3,4
20,1,25000.0,2.87,76.8,15.0,0,0,5.6,0.88,3,Engineering,Bachelor,0,1,1
22,1,61340.0,2.77,92.7,43.3,0,0,6.3,0.27,2,Arts,High School,1,0,0
22,1,32257.0,4.61,83.6,39.5,0,1,3.9,3.07,3,Engineering,Master,0,2,1
18,1,32325.0,3.87,78.0,28.8,0,0,5.1,1.62,4,Engineering,PhD,0,3,1
20,0,25000.0,4.16,75.1,44.8,1,0,5.7,0.08,4,Engineering,PhD,0,3,1
20,1,25000.0,4.92,72.8,41.1,1,0,5.6,1.36,3,Arts,Master,1,2,0
19,0,49416.0,4.24,85.4,31.9,1,1,5.4,2.0,2,CS,High School,1,0,2
24,0,53680.0,3.56,88.1,20.8,1,0,9.3,1.54,1,Arts,Bachelor,1,1,0
21,1,47586.0,2.86,82.0,35.0,0,0,6.5,3.48,1,Arts,Master,0,2,0
18,0,47848.0,4.58,80.4,34.9,0,0,6.8,2.82,4,Arts,High School,0,0,0
23,0,29219.0,3.935,71.7,35.9,1,0,5.5,3.07,3,CS,High School,0,0,2
25,1,32174.0,5.14,70.7,30.9,1,0,6.5,2.17,4,Business,Bachelor,1,1,3
23,0,26763.0,2.04,82.6,33.9,0,0,5.9,0.44,2,Science,Bachelor,1,1,4
17,0,61463.0,1.37,82.1,33.6,1,0,8.8,0.02,4,Arts,Bachelor,1,1,0
19,1,25000.0,3.04,85.3,46.3,1,0,5.4,1.85,3,Engineering,Master,0,2,1
23,0,37123.0,2.0,85.8,14.7,0,0,7.0,2.43,4,CS,Master,0,2,2
19,0,25000.0,2.33,78.7,18.0,1,1,9.3,0.41,2,Science,Master,1,2,4
22,0,25000.0,0.91,96.8,30.9,0,0,6.7,1.58,2,Arts,Master,0,2,0
22,1,31202.0,3.915,73.3,20.9,1,1,5.5,1.74,1,Science,High School,0,0,4
19,1,25000.0,2.49,78.2,32.5,0,0,4.2,3.9,1,Business,Bachelor,0,1,3
20,1,47988.0,2.48,88.9,16.6,0,0,4.6,3.74,3,Engineering,Bachelor,0,1,1
17,0,25000.0,3.14,76.9,18.5,1,0,6.2,1.74,3,Arts,High School,1,0,0
18,1,28377.0,4.065,82.9,54.7,0,1,5.5,2.44,2,CS,Bachelor,1,1,2
20,1,32193.0,3.66,77.7,27.2,0,0,6.6,2.29,1,Business,High School,0,0,3
18,0,25000.0,2.18,78.9,15.9,1,1,4.8,3.96,2,Arts,PhD,0,3,0
24,1,25000.0,5.28,71.6,28.6,0,0,5.0,2.39,3,Engineering,Master,0,2,1
17,1,34663.0,4.36,88.1,42.4,1,0,5.2,3.18,3,Science,Bachelor,0,1,4
20,1,38455.0,4.54,88.3,44.5,1,0,3.1,4.0,3,Business,High School,0,0,3
21,0,26302.0,3.43,88.2,12.5,1,0,4.7,1.55,2,Engineering,Bachelor,0,1,1
24,0,44629.0,5.4,78.6,20.8,1,1,4.6,3.93,2,Arts,High School,0,0,0
17,0,27845.0,4.64,84.7,32.7,1,0,10.0,0.22,2,Business,Bachelor,1,1,3
23,0,29977.0,4.25,98.0,29.6,0,0,7.2,1.19,3,Engineering,High School,1,0,1
21,1,34579.0,5.3,84.3,10.8,1,0,3.6,3.71,4,Science,Master,0,2,4
18,0,51855.0,1.83,72.8,12.7,0,0,2.7,1.02,1,Engineering,Bachelor,0,1,1
22,1,25000.0,4.25,75.2,17.2,0,0,3.1,1.13,4,Business,Bachelor,1,1,3
21,0,25000.0,3.13,74.8,8.7,0,1,8.0,2.67,3,Business,Bachelor,0,1,3
19,0,25000.0,3.06,92.6,24.5,0,0,3.1,3.04,3,CS,High School,0,0,2
21,1,25000.0,5.04,85.2,44.3,0,0,8.4,2.05,3,Business,Bachelor,0,1,3
20,0,69964.0,5.78,69.4,22.0,1,1,5.9,3.94,4,Engineering,High School,0,0,1
21,1,41925.0,5.65,92.4,43.0,0,0,5.1,3.42,2,Engineering,Master,0,2,1
